No.,Time,Source,Destination,Protocol,Length,Info,label
294,28.43454,FioImma.local,maa03s42-in-f22.1e100.net,TLSv1.2,89,Application Data,Other
295,28.434772,maa03s42-in-f22.1e100.net,FioImma.local,TLSv1.2,1466,Application Data,Other
296,28.434817,FioImma.local,maa03s42-in-f22.1e100.net,TCP,54,54649  >  443 [ACK] Seq=241 Ack=10041 Win=2051 Len=0,TCP Traffic
297,28.434867,maa03s42-in-f22.1e100.net,FioImma.local,TLSv1.2,1466,Application Data,Other
298,28.434889,FioImma.local,maa03s42-in-f22.1e100.net,TCP,54,54649  >  443 [ACK] Seq=241 Ack=11453 Win=2051 Len=0,TCP Traffic
299,28.434917,maa03s42-in-f22.1e100.net,FioImma.local,TLSv1.2,837,Application Data,Other
300,28.434966,maa03s42-in-f22.1e100.net,FioImma.local,TLSv1.2,93,Application Data,Other
301,28.434975,FioImma.local,maa03s42-in-f22.1e100.net,TCP,54,54649  >  443 [ACK] Seq=241 Ack=12275 Win=2048 Len=0,TCP Traffic
302,28.43507,FioImma.local,maa03s42-in-f22.1e100.net,TLSv1.2,93,Application Data,Other
303,28.445343,maa03s42-in-f22.1e100.net,FioImma.local,TCP,60,443  >  54649 [ACK] Seq=12275 Ack=280 Win=489 Len=0,TCP Traffic
304,30.383865,FioImma.local,clients.l.google.com,TCP,55,54628  >  443 [ACK] Seq=1 Ack=1 Win=510 Len=1 [TCP PDU reassembled in 7502],TCP Traffic
305,30.396551,clients.l.google.com,FioImma.local,TCP,66,443  >  54628 [ACK] Seq=1 Ack=2 Win=489 Len=0 SLE=1 SRE=2,TCP Traffic
306,30.559295,FioImma.local,www.google.com,TCP,54,"54799  >  443 [FIN, ACK] Seq=2317 Ack=1465 Win=131072 Len=0",TCP Traffic
307,30.559604,FioImma.local,www.google.com,TCP,66,54801  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM,TCP Traffic
308,30.571208,www.google.com,FioImma.local,TCP,66,"443  >  54801 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1412 SACK_PERM WS=256",TCP Traffic
309,30.571208,www.google.com,FioImma.local,TCP,54,443  >  54799 [ACK] Seq=1465 Ack=2318 Win=71424 Len=0,TCP Traffic
310,30.571355,FioImma.local,www.google.com,TCP,54,54801  >  443 [ACK] Seq=1 Ack=1 Win=131072 Len=0,TCP Traffic
311,30.572403,FioImma.local,www.google.com,TCP,1466,54801  >  443 [ACK] Seq=1 Ack=1 Win=131072 Len=1412 [TCP PDU reassembled in 312],TCP Traffic
312,30.572403,FioImma.local,www.google.com,TLSv1.3,430,Client Hello (SNI=www.google.com),Other
313,30.582847,www.google.com,FioImma.local,TCP,60,443  >  54801 [ACK] Seq=1 Ack=1413 Win=68608 Len=0,TCP Traffic
314,30.582847,www.google.com,FioImma.local,TCP,60,443  >  54801 [ACK] Seq=1 Ack=1789 Win=71424 Len=0,TCP Traffic
315,30.616326,www.google.com,FioImma.local,TLSv1.3,1466,"Server Hello, Change Cipher Spec",Other
316,30.618077,www.google.com,FioImma.local,TCP,2878,"443  >  54801 [PSH, ACK] Seq=1413 Ack=1789 Win=71424 Len=2824 [TCP PDU reassembled in 317]",TCP Traffic
317,30.618077,www.google.com,FioImma.local,TLSv1.3,1168,Application Data,Other
318,30.618148,FioImma.local,www.google.com,TCP,54,54801  >  443 [ACK] Seq=1789 Ack=5351 Win=131072 Len=0,TCP Traffic
319,30.619759,FioImma.local,www.google.com,TLSv1.3,128,"Change Cipher Spec, Application Data",Other
320,30.620067,FioImma.local,www.google.com,TLSv1.3,146,Application Data,Other
321,30.62036,FioImma.local,www.google.com,TCP,1466,54801  >  443 [ACK] Seq=1955 Ack=5351 Win=131072 Len=1412 [TCP PDU reassembled in 322],TCP Traffic
322,30.62036,FioImma.local,www.google.com,TLSv1.3,668,Application Data,Other
323,30.631206,www.google.com,FioImma.local,TCP,60,443  >  54801 [ACK] Seq=5351 Ack=3367 Win=74240 Len=0,TCP Traffic
324,30.631206,www.google.com,FioImma.local,TLSv1.3,1012,"Application Data, Application Data",Other
325,30.631206,www.google.com,FioImma.local,TLSv1.3,85,Application Data,Other
326,30.631271,FioImma.local,www.google.com,TCP,54,54801  >  443 [ACK] Seq=3981 Ack=6340 Win=130304 Len=0,TCP Traffic
327,30.631575,FioImma.local,www.google.com,TLSv1.3,85,Application Data,Other
328,30.643547,FioImma.local,www.google.com,TLSv1.3,127,Application Data,Other
329,30.647487,www.google.com,FioImma.local,TCP,60,443  >  54801 [ACK] Seq=6340 Ack=4012 Win=77056 Len=0,TCP Traffic
330,30.656522,www.google.com,FioImma.local,TCP,60,443  >  54801 [ACK] Seq=6340 Ack=4085 Win=77056 Len=0,TCP Traffic
331,30.710432,www.google.com,FioImma.local,TLSv1.3,1282,Application Data,Other
332,30.710432,www.google.com,FioImma.local,TLSv1.3,745,Application Data,Other
333,30.710432,www.google.com,FioImma.local,TLSv1.3,86,Application Data,Other
334,30.710432,www.google.com,FioImma.local,TLSv1.3,85,Application Data,Other
335,30.710432,www.google.com,FioImma.local,TLSv1.3,93,Application Data,Other
336,30.7105,FioImma.local,www.google.com,TCP,54,54801  >  443 [ACK] Seq=4085 Ack=8361 Win=131072 Len=0,TCP Traffic
337,30.711452,FioImma.local,www.google.com,TLSv1.3,93,Application Data,Other
