"No.","Time","Source","Destination","Protocol","Length","Info"
"19","0.755094","mars.octa.edu","FioImma.local","DNS","150","Standard query response 0xc288 PTR 26.158.233.3.in-addr.arpa PTR ec2-3-233-158-26.compute-1.amazonaws.com OPT"
"20","1.734154","FioImma.local","mars.octa.edu","DNS","93","Standard query 0x649b PTR 41.0.0.10.in-addr.arpa OPT"
"21","1.740796","mars.octa.edu","FioImma.local","DNS","120","Standard query response 0x649b PTR 41.0.0.10.in-addr.arpa PTR mars.octa.edu OPT"
"22","3.915724","FioImma.local","mars.octa.edu","DNS","90","Standard query 0x06e2 A self.events.data.microsoft.com"
"23","3.923278","mars.octa.edu","FioImma.local","DNS","213","Standard query response 0x06e2 A self.events.data.microsoft.com CNAME self-events-data.trafficmanager.net CNAME onedscolprdneu09.northeurope.cloudapp.azure.com A 13.69.239.77"
"24","3.924582","FioImma.local","onedscolprdneu09.northeurope.cloudapp.azure.com","TCP","66","54797  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=256 SACK_PERM"
"25","4.089561","onedscolprdneu09.northeurope.cloudapp.azure.com","FioImma.local","TCP","66","443  >  54797 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1440 WS=256 SACK_PERM"
"26","4.089730","FioImma.local","onedscolprdneu09.northeurope.cloudapp.azure.com","TCP","54","54797  >  443 [ACK] Seq=1 Ack=1 Win=262144 Len=0"
"27","4.092860","FioImma.local","onedscolprdneu09.northeurope.cloudapp.azure.com","TLSv1.3","445","Client Hello (SNI=self.events.data.microsoft.com)"
"28","4.259201","onedscolprdneu09.northeurope.cloudapp.azure.com","FioImma.local","TLSv1.3","153","Hello Retry Request, Change Cipher Spec"
"29","4.259366","FioImma.local","onedscolprdneu09.northeurope.cloudapp.azure.com","TCP","54","54797  >  443 [ACK] Seq=392 Ack=100 Win=261888 Len=0"
"30","4.284396","FioImma.local","onedscolprdneu09.northeurope.cloudapp.azure.com","TLSv1.3","516","Change Cipher Spec, Client Hello (SNI=self.events.data.microsoft.com)"
"31","4.460794","onedscolprdneu09.northeurope.cloudapp.azure.com","FioImma.local","TLSv1.3","1514","Server Hello"
"32","4.460952","FioImma.local","onedscolprdneu09.northeurope.cloudapp.azure.com","TCP","54","54797  >  443 [ACK] Seq=854 Ack=1560 Win=262144 Len=0"
"33","4.462666","onedscolprdneu09.northeurope.cloudapp.azure.com","FioImma.local","TCP","4434","443  >  54797 [ACK] Seq=1560 Ack=854 Win=524288 Len=4380 [TCP PDU reassembled in 34]"
"34","4.462666","onedscolprdneu09.northeurope.cloudapp.azure.com","FioImma.local","TLSv1.3","600","Application Data"
"35","4.462816","FioImma.local","onedscolprdneu09.northeurope.cloudapp.azure.com","TCP","54","54797  >  443 [ACK] Seq=854 Ack=6486 Win=262144 Len=0"
"36","4.475078","FioImma.local","onedscolprdneu09.northeurope.cloudapp.azure.com","TLSv1.3","128","Application Data"
"37","4.475461","FioImma.local","onedscolprdneu09.northeurope.cloudapp.azure.com","TLSv1.3","1083","Application Data"
"38","4.495702","FioImma.local","102.221.186.35.bc.googleusercontent.com","TCP","55","54633  >  443 [ACK] Seq=1 Ack=1 Win=512 Len=1 [TCP PDU reassembled in 502]"
"39","4.507488","102.221.186.35.bc.googleusercontent.com","FioImma.local","TCP","66","443  >  54633 [ACK] Seq=1 Ack=2 Win=345 Len=0 SLE=1 SRE=2"
"40","4.642298","onedscolprdneu09.northeurope.cloudapp.azure.com","FioImma.local","TCP","60","443  >  54797 [ACK] Seq=6486 Ack=1957 Win=524288 Len=0"
"41","4.653110","onedscolprdneu09.northeurope.cloudapp.azure.com","FioImma.local","TLSv1.3","157","Application Data"
"42","4.653212","FioImma.local","onedscolprdneu09.northeurope.cloudapp.azure.com","TCP","54","54797  >  443 [ACK] Seq=1957 Ack=6589 Win=261888 Len=0"
"43","4.655417","FioImma.local","onedscolprdneu09.northeurope.cloudapp.azure.com","TCP","54","54797  >  443 [FIN, ACK] Seq=1957 Ack=6589 Win=261888 Len=0"
"44","4.991236","onedscolprdneu09.northeurope.cloudapp.azure.com","FioImma.local","TCP","54","443  >  54797 [ACK] Seq=6589 Ack=1958 Win=524288 Len=0"
"45","5.018179","FioImma.local","gce-beacons.gcp.gvt2.com","TCP","55","54769  >  443 [ACK] Seq=1 Ack=1 Win=510 Len=1 [TCP PDU reassembled in 499]"
"46","5.100235","gce-beacons.gcp.gvt2.com","FioImma.local","TCP","66","443  >  54769 [ACK] Seq=1 Ack=2 Win=249 Len=0 SLE=1 SRE=2"
"47","5.139425","onedscolprdneu09.northeurope.cloudapp.azure.com","FioImma.local","TLSv1.3","201","Application Data"
"48","5.139425","onedscolprdneu09.northeurope.cloudapp.azure.com","FioImma.local","TCP","54","443  >  54797 [FIN, ACK] Seq=6736 Ack=1958 Win=524288 Len=0"
"49","5.139551","FioImma.local","onedscolprdneu09.northeurope.cloudapp.azure.com","TCP","54","54797  >  443 [RST, ACK] Seq=1958 Ack=6736 Win=0 Len=0"
"50","5.286889","FioImma.local","mars.octa.edu","DNS","88","Standard query 0xcb02 A browser-intake-datadoghq.com"
"51","5.287236","FioImma.local","mars.octa.edu","DNS","88","Standard query 0x4b59 HTTPS browser-intake-datadoghq.com"
"52","5.293202","mars.octa.edu","FioImma.local","DNS","136","Standard query response 0xcb02 A browser-intake-datadoghq.com A 3.233.158.24 A 3.233.158.25 A 3.233.158.26"
"53","5.295732","mars.octa.edu","FioImma.local","DNS","172","Standard query response 0x4b59 HTTPS browser-intake-datadoghq.com SOA ns-1907.awsdns-46.co.uk"
"54","5.296409","FioImma.local","www.google.com","TCP","54","54782  >  443 [FIN, ACK] Seq=1 Ack=1 Win=512 Len=0"
"55","5.296876","FioImma.local","browser-intake-datadoghq.com","TCP","66","54798  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"56","5.306182","www.google.com","FioImma.local","TCP","54","443  >  54782 [RST] Seq=1 Win=0 Len=0"
"57","5.522439","browser-intake-datadoghq.com","FioImma.local","TCP","66","443  >  54798 [SYN, ACK] Seq=0 Ack=1 Win=31740 Len=0 MSS=1380 SACK_PERM WS=512"
"58","5.522570","FioImma.local","browser-intake-datadoghq.com","TCP","54","54798  >  443 [ACK] Seq=1 Ack=1 Win=131072 Len=0"
"59","5.525206","FioImma.local","browser-intake-datadoghq.com","TCP","1434","54798  >  443 [ACK] Seq=1 Ack=1 Win=131072 Len=1380 [TCP PDU reassembled in 60]"
"60","5.525206","FioImma.local","browser-intake-datadoghq.com","TLSv1.3","747","Client Hello (SNI=browser-intake-datadoghq.com)"
"61","5.748153","browser-intake-datadoghq.com","FioImma.local","TCP","60","443  >  54798 [ACK] Seq=1 Ack=1381 Win=31232 Len=0"
"62","5.748153","browser-intake-datadoghq.com","FioImma.local","TCP","60","443  >  54798 [ACK] Seq=1 Ack=2074 Win=31744 Len=0"
"63","5.748153","browser-intake-datadoghq.com","FioImma.local","TLSv1.3","266","Server Hello, Change Cipher Spec, Application Data"
"64","5.749761","FioImma.local","mars.octa.edu","DNS","98","Standard query 0xf940 PTR 102.221.186.35.in-addr.arpa OPT"
"65","5.750063","FioImma.local","browser-intake-datadoghq.com","TLSv1.3","118","Change Cipher Spec, Application Data"
"66","5.750106","FioImma.local","mars.octa.edu","DNS","98","Standard query 0x6e95 PTR 127.128.220.35.in-addr.arpa OPT"
"67","5.750372","FioImma.local","mars.octa.edu","DNS","99","Standard query 0xf451 PTR 228.205.250.142.in-addr.arpa OPT"
"68","5.750422","FioImma.local","browser-intake-datadoghq.com","TLSv1.3","146","Application Data"
"69","5.750802","FioImma.local","browser-intake-datadoghq.com","TLSv1.3","699","Application Data"
"70","5.750885","FioImma.local","browser-intake-datadoghq.com","TLSv1.3","987","Application Data"
"71","5.767076","mars.octa.edu","FioImma.local","DNS","137","Standard query response 0xf451 PTR 228.205.250.142.in-addr.arpa PTR maa05s28-in-f4.1e100.net OPT"
"72","5.779998","FioImma.local","maa03s28-in-f3.1e100.net","TCP","55","54772  >  443 [ACK] Seq=1 Ack=1 Win=512 Len=1"
"73","5.783526","mars.octa.edu","FioImma.local","DNS","151","Standard query response 0xf940 PTR 102.221.186.35.in-addr.arpa PTR 102.221.186.35.bc.googleusercontent.com OPT"
"74","5.787823","mars.octa.edu","FioImma.local","DNS","151","Standard query response 0x6e95 PTR 127.128.220.35.in-addr.arpa PTR 127.128.220.35.bc.googleusercontent.com OPT"
"75","5.790790","maa03s28-in-f3.1e100.net","FioImma.local","TCP","66","443  >  54772 [ACK] Seq=1 Ack=2 Win=301 Len=0 SLE=1 SRE=2"
"76","5.974592","browser-intake-datadoghq.com","FioImma.local","TCP","60","443  >  54798 [ACK] Seq=213 Ack=2230 Win=31744 Len=0"
"77","5.974592","browser-intake-datadoghq.com","FioImma.local","TLSv1.3","581","Application Data, Application Data"
"78","5.974592","browser-intake-datadoghq.com","FioImma.local","TCP","60","443  >  54798 [ACK] Seq=740 Ack=3808 Win=31744 Len=0"
"79","5.975160","FioImma.local","browser-intake-datadoghq.com","TLSv1.3","85","Application Data"
"80","6.022645","browser-intake-datadoghq.com","FioImma.local","TLSv1.3","363","Application Data"
"81","6.066112","FioImma.local","browser-intake-datadoghq.com","TCP","54","54798  >  443 [ACK] Seq=3839 Ack=1049 Win=130048 Len=0"
"82","6.243757","browser-intake-datadoghq.com","FioImma.local","TCP","60","443  >  54798 [ACK] Seq=1049 Ack=3839 Win=31744 Len=0"
"83","6.257781","FioImma.local","ec2-35-174-127-31.compute-1.amazonaws.com","TLSv1.2","297","Application Data"
"84","6.492246","ec2-35-174-127-31.compute-1.amazonaws.com","FioImma.local","TLSv1.2","320","Application Data"
"85","6.542869","FioImma.local","ec2-35-174-127-31.compute-1.amazonaws.com","TCP","54","54503  >  443 [ACK] Seq=244 Ack=267 Win=513 Len=0"
"86","6.750986","FioImma.local","mars.octa.edu","DNS","98","Standard query 0xad78 PTR 195.31.217.172.in-addr.arpa OPT"
"87","6.751341","FioImma.local","mars.octa.edu","DNS","97","Standard query 0x3df8 PTR 31.127.174.35.in-addr.arpa OPT"
"88","6.769241","mars.octa.edu","FioImma.local","DNS","136","Standard query response 0xad78 PTR 195.31.217.172.in-addr.arpa PTR maa03s28-in-f3.1e100.net OPT"
"89","6.787870","mars.octa.edu","FioImma.local","DNS","152","Standard query response 0x3df8 PTR 31.127.174.35.in-addr.arpa PTR ec2-35-174-127-31.compute-1.amazonaws.com OPT"
"90","6.983660","FioImma.local","mars.octa.edu","DNS","90","Standard query 0x3441 A self.events.data.microsoft.com"
"91","6.992391","mars.octa.edu","FioImma.local","DNS","213","Standard query response 0x3441 A self.events.data.microsoft.com CNAME self-events-data.trafficmanager.net CNAME onedscolprdneu09.northeurope.cloudapp.azure.com A 13.69.239.77"
"92","7.282719","FioImma.local","maa03s41-in-f14.1e100.net","TCP","1466","54642  >  443 [ACK] Seq=1 Ack=1 Win=512 Len=1412 [TCP PDU reassembled in 94]"
"93","7.282719","FioImma.local","maa03s41-in-f14.1e100.net","TCP","1466","54642  >  443 [ACK] Seq=1413 Ack=1 Win=512 Len=1412 [TCP PDU reassembled in 94]"
"94","7.282719","FioImma.local","maa03s41-in-f14.1e100.net","TLSv1.2","655","Application Data"
"95","7.282871","FioImma.local","maa03s41-in-f14.1e100.net","TLSv1.2","93","Application Data"
"96","7.295070","maa03s41-in-f14.1e100.net","FioImma.local","TCP","60","443  >  54642 [ACK] Seq=1 Ack=1413 Win=2048 Len=0"
"97","7.295070","maa03s41-in-f14.1e100.net","FioImma.local","TCP","60","443  >  54642 [ACK] Seq=1 Ack=2825 Win=2048 Len=0"
"98","7.295070","maa03s41-in-f14.1e100.net","FioImma.local","TCP","60","443  >  54642 [ACK] Seq=1 Ack=3426 Win=2048 Len=0"
"99","7.295070","maa03s41-in-f14.1e100.net","FioImma.local","TCP","60","443  >  54642 [ACK] Seq=1 Ack=3465 Win=2048 Len=0"
"100","7.295070","maa03s41-in-f14.1e100.net","FioImma.local","TLSv1.2","93","Application Data"
"101","7.336551","FioImma.local","maa03s41-in-f14.1e100.net","TCP","54","54642  >  443 [ACK] Seq=3465 Ack=40 Win=512 Len=0"
"102","7.341228","maa03s41-in-f14.1e100.net","FioImma.local","TLSv1.2","131","Application Data"
"103","7.341228","maa03s41-in-f14.1e100.net","FioImma.local","TLSv1.2","85","Application Data"
"104","7.341228","maa03s41-in-f14.1e100.net","FioImma.local","TLSv1.2","93","Application Data"
"105","7.341346","FioImma.local","maa03s41-in-f14.1e100.net","TCP","54","54642  >  443 [ACK] Seq=3465 Ack=187 Win=511 Len=0"
"106","7.342076","FioImma.local","maa03s41-in-f14.1e100.net","TLSv1.2","93","Application Data"
"107","7.356135","maa03s41-in-f14.1e100.net","FioImma.local","TCP","60","443  >  54642 [ACK] Seq=187 Ack=3504 Win=2048 Len=0"
"108","7.403169","192.168.1.1","all-systems.mcast.net","IGMPv3","50","Membership Query, general"
"109","7.751770","FioImma.local","mars.octa.edu","DNS","99","Standard query 0x495a PTR 174.195.250.142.in-addr.arpa OPT"
"110","7.752115","FioImma.local","mars.octa.edu","DNS","95","Standard query 0xcc20 PTR 1.1.168.192.in-addr.arpa OPT"
"111","7.752480","FioImma.local","mars.octa.edu","DNS","93","Standard query 0xc241 PTR 1.0.0.224.in-addr.arpa OPT"
"112","7.762509","mars.octa.edu","FioImma.local","DNS","128","Standard query response 0xc241 PTR 1.0.0.224.in-addr.arpa PTR all-systems.mcast.net OPT"
"113","7.762509","mars.octa.edu","FioImma.local","DNS","138","Standard query response 0x495a PTR 174.195.250.142.in-addr.arpa PTR maa03s41-in-f14.1e100.net OPT"
"114","7.772139","mars.octa.edu","FioImma.local","DNS","95","Standard query response 0xcc20 No such name PTR 1.1.168.192.in-addr.arpa OPT"
"115","7.782178","FioImma.local","igmp.mcast.net","IGMPv3","54","Membership Report / Join group 224.0.0.251 for any sources"
"116","7.988394","FioImma.local","20.212.88.117","TCP","55","54586  >  443 [ACK] Seq=1 Ack=1 Win=516 Len=1 [TCP PDU reassembled in 7456]"
"117","8.080964","20.212.88.117","FioImma.local","TCP","66","443  >  54586 [ACK] Seq=1 Ack=2 Win=251 Len=0 SLE=1 SRE=2"
"118","8.749616","FioImma.local","mars.octa.edu","DNS","94","Standard query 0x8caf PTR 22.0.0.224.in-addr.arpa OPT"
"119","8.750207","FioImma.local","mars.octa.edu","DNS","97","Standard query 0xed6b PTR 117.88.212.20.in-addr.arpa OPT"
"120","8.768216","mars.octa.edu","FioImma.local","DNS","183","Standard query response 0xed6b No such name PTR 117.88.212.20.in-addr.arpa SOA ns1-01.azure-dns.com OPT"
"121","8.768216","mars.octa.edu","FioImma.local","DNS","122","Standard query response 0x8caf PTR 22.0.0.224.in-addr.arpa PTR igmp.mcast.net OPT"
"122","8.827836","FioImma.local","sa-in-f188.1e100.net","TCP","55","54584  >  5228 [ACK] Seq=1 Ack=1 Win=507 Len=1"
"123","8.827912","FioImma.local","sa-in-f188.1e100.net","TCP","55","54585  >  5228 [ACK] Seq=1 Ack=1 Win=510 Len=1"
"124","8.827932","FioImma.local","27.70.201.35.bc.googleusercontent.com","TCP","55","54747  >  443 [ACK] Seq=1 Ack=1 Win=512 Len=1"
"125","8.841251","27.70.201.35.bc.googleusercontent.com","FioImma.local","TCP","66","443  >  54747 [ACK] Seq=1 Ack=2 Win=301 Len=0 SLE=1 SRE=2"
"126","8.872348","sa-in-f188.1e100.net","FioImma.local","TCP","66","5228  >  54584 [ACK] Seq=1 Ack=2 Win=290 Len=0 SLE=1 SRE=2"
"127","8.872348","sa-in-f188.1e100.net","FioImma.local","TCP","66","5228  >  54585 [ACK] Seq=1 Ack=2 Win=290 Len=0 SLE=1 SRE=2"
"128","9.687895","FioImma.local","24.224.186.35.bc.googleusercontent.com","TCP","55","54610  >  443 [ACK] Seq=1 Ack=1 Win=510 Len=1 [TCP PDU reassembled in 7561]"
"129","9.700724","24.224.186.35.bc.googleusercontent.com","FioImma.local","TCP","66","443  >  54610 [ACK] Seq=1 Ack=2 Win=489 Len=0 SLE=1 SRE=2"
"130","9.753113","FioImma.local","mars.octa.edu","DNS","98","Standard query 0x2414 PTR 188.200.125.74.in-addr.arpa OPT"
"131","9.753695","FioImma.local","mars.octa.edu","DNS","96","Standard query 0xd706 PTR 27.70.201.35.in-addr.arpa OPT"
"132","9.760930","mars.octa.edu","FioImma.local","DNS","132","Standard query response 0x2414 PTR 188.200.125.74.in-addr.arpa PTR sa-in-f188.1e100.net OPT"
"133","9.790079","mars.octa.edu","FioImma.local","DNS","147","Standard query response 0xd706 PTR 27.70.201.35.in-addr.arpa PTR 27.70.201.35.bc.googleusercontent.com OPT"
"134","10.285896","FioImma.local","maa03s41-in-f14.1e100.net","TCP","1466","54642  >  443 [ACK] Seq=3504 Ack=187 Win=511 Len=1412 [TCP PDU reassembled in 136]"
"135","10.285896","FioImma.local","maa03s41-in-f14.1e100.net","TCP","1466","54642  >  443 [ACK] Seq=4916 Ack=187 Win=511 Len=1412 [TCP PDU reassembled in 136]"
"136","10.285896","FioImma.local","maa03s41-in-f14.1e100.net","TLSv1.2","820","Application Data"
"137","10.286103","FioImma.local","maa03s41-in-f14.1e100.net","TLSv1.2","311","Application Data"
"138","10.298727","maa03s41-in-f14.1e100.net","FioImma.local","TCP","60","443  >  54642 [ACK] Seq=187 Ack=4916 Win=2048 Len=0"
"139","10.298727","maa03s41-in-f14.1e100.net","FioImma.local","TCP","60","443  >  54642 [ACK] Seq=187 Ack=6328 Win=2048 Len=0"
"140","10.298727","maa03s41-in-f14.1e100.net","FioImma.local","TCP","60","443  >  54642 [ACK] Seq=187 Ack=7094 Win=2048 Len=0"
"141","10.298727","maa03s41-in-f14.1e100.net","FioImma.local","TCP","60","443  >  54642 [ACK] Seq=187 Ack=7351 Win=2048 Len=0"
"142","10.343151","maa03s41-in-f14.1e100.net","FioImma.local","TLSv1.2","135","Application Data"
"143","10.345408","maa03s41-in-f14.1e100.net","FioImma.local","TLSv1.2","85","Application Data"
"144","10.345408","maa03s41-in-f14.1e100.net","FioImma.local","TLSv1.2","93","Application Data"
"145","10.345486","FioImma.local","maa03s41-in-f14.1e100.net","TCP","54","54642  >  443 [ACK] Seq=7351 Ack=338 Win=510 Len=0"
"146","10.346309","FioImma.local","maa03s41-in-f14.1e100.net","TLSv1.2","93","Application Data"
"147","10.356589","maa03s41-in-f14.1e100.net","FioImma.local","TCP","60","443  >  54642 [ACK] Seq=338 Ack=7390 Win=2048 Len=0"
"148","10.450920","FioImma.local","maa03s42-in-f22.1e100.net","TCP","55","54649  >  443 [ACK] Seq=1 Ack=1 Win=2047 Len=1 [TCP PDU reassembled in 282]"
"149","10.462972","maa03s42-in-f22.1e100.net","FioImma.local","TCP","66","443  >  54649 [ACK] Seq=1 Ack=2 Win=489 Len=0 SLE=1 SRE=2"
"150","10.754135","FioImma.local","mars.octa.edu","DNS","97","Standard query 0xb0d1 PTR 24.224.186.35.in-addr.arpa OPT"
"151","10.754567","FioImma.local","mars.octa.edu","DNS","99","Standard query 0x5dba PTR 214.195.250.142.in-addr.arpa OPT"
"152","10.763903","mars.octa.edu","FioImma.local","DNS","138","Standard query response 0x5dba PTR 214.195.250.142.in-addr.arpa PTR maa03s42-in-f22.1e100.net OPT"
"153","10.772928","mars.octa.edu","FioImma.local","DNS","149","Standard query response 0xb0d1 PTR 24.224.186.35.in-addr.arpa PTR 24.224.186.35.bc.googleusercontent.com OPT"
"154","12.308428","FioImma.local","maa03s39-in-f10.1e100.net","TCP","55","54597  >  443 [ACK] Seq=1 Ack=1 Win=512 Len=1"
"155","12.322661","maa03s39-in-f10.1e100.net","FioImma.local","TCP","66","443  >  54597 [ACK] Seq=1 Ack=2 Win=400 Len=0 SLE=1 SRE=2"
"156","12.722203","FioImma.local","www.google.com","TCP","66","54799  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"157","12.734435","www.google.com","FioImma.local","TCP","66","443  >  54799 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1412 SACK_PERM WS=256"
"158","12.734578","FioImma.local","www.google.com","TCP","54","54799  >  443 [ACK] Seq=1 Ack=1 Win=131072 Len=0"
"159","12.737230","FioImma.local","www.google.com","TCP","1466","54799  >  443 [ACK] Seq=1 Ack=1 Win=131072 Len=1412 [TCP PDU reassembled in 160]"
"160","12.737230","FioImma.local","www.google.com","TLSv1.3","884","Client Hello (SNI=www.google.com)"
"161","12.748692","www.google.com","FioImma.local","TCP","60","443  >  54799 [ACK] Seq=1 Ack=1413 Win=68608 Len=0"
"162","12.748692","www.google.com","FioImma.local","TCP","60","443  >  54799 [ACK] Seq=1 Ack=2243 Win=71424 Len=0"
"163","12.754726","FioImma.local","mars.octa.edu","DNS","99","Standard query 0xd6fe PTR 106.195.250.142.in-addr.arpa OPT"
"164","12.759148","FioImma.local","mdns.mcast.net","MDNS","87","Standard query 0x0000 PTR _spotify-connect._tcp.local, ""QM"" question"
"165","12.759872","FioImma.local","ff02::fb","MDNS","107","Standard query 0x0000 PTR _spotify-connect._tcp.local, ""QM"" question"
"166","12.767626","FioImma.local","igmp.mcast.net","IGMPv3","54","Membership Report / Join group 239.255.255.250 for any sources"
"167","12.782453","mars.octa.edu","FioImma.local","DNS","138","Standard query response 0xd6fe PTR 106.195.250.142.in-addr.arpa PTR maa03s39-in-f10.1e100.net OPT"
"168","12.782453","www.google.com","FioImma.local","TLSv1.3","1466","Server Hello, Change Cipher Spec"
"169","12.784297","www.google.com","FioImma.local","TLSv1.3","105","Application Data"
"170","12.784356","FioImma.local","www.google.com","TCP","54","54799  >  443 [ACK] Seq=2243 Ack=1464 Win=131072 Len=0"
"171","12.784966","FioImma.local","www.google.com","TLSv1.3","128","Change Cipher Spec, Application Data"
"172","12.801308","www.google.com","FioImma.local","TCP","60","443  >  54799 [ACK] Seq=1464 Ack=2317 Win=71424 Len=0"
"173","13.108065","FioImma.local","239.255.255.250","SSDP","167","M-SEARCH * HTTP/1.1 "
"174","13.338441","FioImma.local","45.224.186.35.bc.googleusercontent.com","TLSv1.2","82","Application Data"
"175","13.350898","45.224.186.35.bc.googleusercontent.com","FioImma.local","TCP","60","443  >  54488 [ACK] Seq=1 Ack=29 Win=272 Len=0"
"176","13.423857","45.224.186.35.bc.googleusercontent.com","FioImma.local","TLSv1.2","78","Application Data"
"177","13.465980","FioImma.local","45.224.186.35.bc.googleusercontent.com","TCP","54","54488  >  443 [ACK] Seq=29 Ack=25 Win=507 Len=0"
"178","13.762561","FioImma.local","mars.octa.edu","DNS","143","Standard query 0x319d PTR 6.e.3.2.8.4.d.1.3.c.4.9.5.1.4.c.0.0.0.0.0.0.0.0.0.0.0.0.0.8.e.f.ip6.arpa OPT"
"179","13.762789","FioImma.local","mars.octa.edu","DNS","143","Standard query 0xe592 PTR b.f.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.2.0.f.f.ip6.arpa OPT"
"180","13.762993","FioImma.local","mars.octa.edu","DNS","95","Standard query 0x5819 PTR 251.0.0.224.in-addr.arpa OPT"
"181","13.763206","FioImma.local","mars.octa.edu","DNS","99","Standard query 0x33ee PTR 250.255.255.239.in-addr.arpa OPT"
"182","13.763448","FioImma.local","mars.octa.edu","DNS","97","Standard query 0x234e PTR 45.224.186.35.in-addr.arpa OPT"
"183","13.783732","mars.octa.edu","FioImma.local","DNS","123","Standard query response 0x5819 PTR 251.0.0.224.in-addr.arpa PTR mdns.mcast.net OPT"
"184","13.783732","mars.octa.edu","FioImma.local","DNS","99","Standard query response 0x33ee No such name PTR 250.255.255.239.in-addr.arpa OPT"
"185","13.799050","mars.octa.edu","FioImma.local","DNS","149","Standard query response 0x234e PTR 45.224.186.35.in-addr.arpa PTR 45.224.186.35.bc.googleusercontent.com OPT"
"186","13.799050","mars.octa.edu","FioImma.local","DNS","207","Standard query response 0x319d No such name PTR 6.e.3.2.8.4.d.1.3.c.4.9.5.1.4.c.0.0.0.0.0.0.0.0.0.0.0.0.0.8.e.f.ip6.arpa SOA b.ip6-servers.arpa OPT"
"187","13.801216","mars.octa.edu","FioImma.local","DNS","207","Standard query response 0xe592 No such name PTR b.f.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.2.0.f.f.ip6.arpa SOA b.ip6-servers.arpa OPT"
"188","14.613970","FioImma.local","fonts.gstatic.com","TCP","55","54768  >  443 [ACK] Seq=1 Ack=1 Win=510 Len=1"
"189","14.625679","fonts.gstatic.com","FioImma.local","TCP","66","443  >  54768 [ACK] Seq=1 Ack=2 Win=290 Len=0 SLE=1 SRE=2"
"190","14.791834","FioImma.local","mars.octa.edu","DNS","97","Standard query 0xe564 PTR 35.67.250.142.in-addr.arpa OPT"
"191","14.806361","mars.octa.edu","FioImma.local","DNS","135","Standard query response 0xe564 PTR 35.67.250.142.in-addr.arpa PTR maa05s12-in-f3.1e100.net OPT"
"192","15.264566","FioImma.local","202.241.199.104.bc.googleusercontent.com","TCP","65","54472  >  4070 [PSH, ACK] Seq=1 Ack=1 Win=512 Len=11"
"193","15.351637","202.241.199.104.bc.googleusercontent.com","FioImma.local","TCP","65","4070  >  54472 [PSH, ACK] Seq=1 Ack=12 Win=6 Len=11"
"194","15.406777","FioImma.local","202.241.199.104.bc.googleusercontent.com","TCP","54","54472  >  4070 [ACK] Seq=12 Ack=12 Win=512 Len=0"
"195","15.424183","FioImma.local","20.198.119.143","TLSv1.2","155","Application Data"
